timestamp,src_ip,src_port,dst_ip,dst_port,protocol,method,host,uri,status_code,response_size,user_agent,request_count,label,ground_truth_success,content_type,file_name,request_body,response_body
2026-08-22T04:49:54.524207+00:00,192.0.2.110,12869,198.51.100.41,443,HTTP,GET,services.example.test,/api/notices?page=2,200,4571,DemoMobile/1.0,1,BENIGN,false,,,,
2026-08-22T04:49:59.524207+00:00,192.0.2.224,42676,198.51.100.130,80,HTTP,POST,services.example.test,/api/notices?page=2,302,3803,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:50:02.524207+00:00,198.51.100.38,58728,198.51.100.25,80,HTTP,POST,citizen.example.test,/profile/settings,201,1825,SyntheticMonitor/2.1,1,BENIGN,false,,,,
2026-08-22T04:50:07.524207+00:00,198.51.100.229,3464,198.51.100.153,443,HTTP,GET,portal.example.test,/search?q=annual+report,201,4769,Mozilla/5.0 ByteForce-Demo,1,BENIGN,false,,,,
2026-08-22T04:50:13.524207+00:00,203.0.113.206,15581,198.51.100.219,80,HTTP,POST,portal.example.test,/,200,2768,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:50:19.524207+00:00,198.51.100.76,39288,198.51.100.231,443,HTTP,GET,portal.example.test,/search?q=annual+report,201,4089,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:50:22.524207+00:00,198.51.100.89,39197,198.51.100.23,443,HTTP,GET,portal.example.test,/search?q=annual+report,302,6769,SyntheticMonitor/2.1,1,BENIGN,false,,,,
2026-08-22T04:50:27.524207+00:00,192.0.2.188,27475,198.51.100.15,443,HTTP,POST,citizen.example.test,/profile/settings,200,3811,SyntheticMonitor/2.1,1,BENIGN,false,,,,
2026-08-22T04:50:33.524207+00:00,192.0.2.122,4957,198.51.100.156,443,HTTP,GET,docs.example.test,/guides/network-safety,201,6322,Mozilla/5.0 ByteForce-Demo,1,BENIGN,false,,,,
2026-08-22T04:50:39.524207+00:00,203.0.113.224,44434,198.51.100.126,80,HTTP,POST,portal.example.test,/,201,622,Mozilla/5.0 ByteForce-Demo,1,BENIGN,false,,,,
2026-08-22T04:50:42.524207+00:00,192.0.2.9,24514,198.51.100.19,443,HTTP,GET,citizen.example.test,/profile/settings,302,4550,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:50:46.524207+00:00,203.0.113.205,49313,198.51.100.69,80,HTTP,POST,portal.example.test,/search?q=annual+report,201,1330,Mozilla/5.0 ByteForce-Demo,1,BENIGN,false,,,,
2026-08-22T04:50:51.524207+00:00,198.51.100.125,7374,198.51.100.200,443,HTTP,GET,services.example.test,/api/notices?page=2,302,2749,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:50:59.524207+00:00,203.0.113.183,48853,198.51.100.68,443,HTTP,POST,portal.example.test,/search?q=annual+report,200,2634,DemoMobile/1.0,1,BENIGN,false,,,,
2026-08-22T04:51:01.524207+00:00,192.0.2.154,60246,198.51.100.239,443,HTTP,GET,portal.example.test,/search?q=annual+report,200,6439,TelemetryLab/1.2,1,BENIGN,false,,,,
2026-08-22T04:51:07.524207+00:00,198.51.100.169,58082,198.51.100.194,443,HTTP,GET,portal.example.test,/,302,2346,SyntheticMonitor/2.1,1,BENIGN,false,,,,
